Month,Date,Subah_sadiq,Tulu_aaftab,Zawal,Asr_1,Asr_2,Magrib,Isha
5,28,04:16,05:43,12:29,15:52,17:11,19:16,20:43
5,29,04:15,05:42,12:29,15:52,17:12,19:16,20:43
5,30,04:15,05:42,12:29,15:52,17:12,19:17,20:44
5,31,04:15,05:42,12:30,15:52,17:12,19:17,20:44
11,1,05:22,06:39,12:16,15:28,16:16,17:52,19:09
11,2,05:22,06:40,12:16,15:28,16:16,17:52,19:08
11,3,05:23,06:40,12:16,15:27,16:16,17:51,19:08
11,4,05:23,06:41,12:16,15:27,16:15,17:51,19:08
11,5,05:24,06:41,12:16,15:26,16:14,17:50,19:07
11,6,05:24,06:42,12:16,15:26,16:14,17:49,19:07
11,7,05:25,06:43,12:16,15:25,16:13,17:48,19:06
11,8,05:26,06:44,12:16,15:25,16:13,17:48,19:06
11,9,05:26,06:44,12:16,15:24,16:12,17:47,19:05
11,10,05:26,06:45,12:16,15:24,16:11,17:47,19:05
11,11,05:27,06:45,12:16,15:24,16:11,17:46,19:05
11,12,05:27,06:46,12:16,15:23,16:10,17:46,19:05
11,13,05:28,06:47,12:16,15:23,16:09,17:45,19:04
11,14,05:29,06:48,12:16,15:23,16:09,17:45,19:04
11,15,05:29,06:49,12:17,15:22,16:09,17:44,19:04
11,16,05:30,06:49,12:17,15:22,16:08,17:44,19:03
11,17,05:30,06:50,12:17,15:22,16:08,17:44,19:03
11,18,05:31,06:50,12:17,15:22,16:07,17:44,19:03
11,19,05:32,06:51,12:17,15:22,16:07,17:43,19:03
11,20,05:32,06:52,12:18,15:22,16:07,17:43,19:03
11,21,05:33,06:53,12:18,15:22,16:07,17:43,19:03
11,22,05:33,06:53,12:18,15:22,16:07,17:43,19:03
11,23,05:34,06:54,12:18,15:22,16:07,17:43,19:03
11,24,05:35,06:55,12:19,15:22,16:07,17:42,19:03
11,25,05:35,06:56,12:19,15:22,16:07,17:42,19:03
11,26,05:36,06:56,12:19,15:22,16:07,17:42,19:03
11,27,05:36,06:57,12:20,15:22,16:06,17:42,19:03
11,28,05:37,06:57,12:20,15:22,16:06,17:42,19:03
11,29,05:38,06:58,12:20,15:22,16:06,17:42,19:03
11,30,05:38,06:59,12:21,15:22,16:06,17:42,19:03
1,1,05:55,07:17,12:35,15:34,16:19,17:54,19:15
1,2,05:56,07:17,12:36,15:35,16:19,17:55,19:16
1,3,05:57,07:17,12:36,15:36,16:19,17:55,19:17
1,4,05:57,07:18,12:37,15:37,16:20,17:56,19:17
1,5,05:57,07:18,12:37,15:37,16:21,17:57,19:18
1,6,05:57,07:18,12:38,15:38,16:22,17:57,19:19
1,7,05:57,07:18,12:38,15:38,16:22,17:58,19:19
1,8,05:57,07:18,12:38,15:39,16:22,17:59,19:20
1,9,05:58,07:18,12:39,15:40,16:24,18:00,19:21
1,10,05:58,07:18,12:39,15:40,16:24,18:00,19:21
1,11,05:58,07:18,12:40,15:41,16:25,18:01,19:22
1,12,05:58,07:18,12:40,15:41,16:26,18:01,19:23
1,13,05:58,07:19,12:41,15:42,16:27,18:02,19:23
1,14,05:58,07:19,12:41,15:43,16:28,18:03,19:24
1,15,05:58,07:19,12:41,15:44,16:28,18:04,19:24
1,16,05:58,07:19,12:42,15:44,16:29,18:05,19:25
1,17,05:58,07:19,12:42,15:45,16:30,18:06,19:26
1,18,05:58,07:19,12:42,15:46,16:31,18:06,19:26
1,19,05:58,07:19,12:43,15:46,16:32,18:07,19:27
1,20,05:58,07:18,12:43,15:47,16:33,18:08,19:27
1,21,05:58,07:18,12:43,15:48,16:33,18:08,19:28
1,22,05:58,07:18,12:43,15:48,16:34,18:09,19:29
1,23,05:58,07:18,12:44,15:49,16:35,18:10,19:29
1,24,05:58,07:18,12:44,15:49,16:35,18:11,19:30
1,25,05:58,07:17,12:44,15:50,16:36,18:11,19:31
1,26,05:58,07:17,12:44,15:50,16:36,18:12,19:32
1,27,05:57,07:17,12:45,15:51,16:37,18:13,19:32
1,28,05:57,07:17,12:45,15:52,16:37,18:14,19:33
1,29,05:57,07:16,12:45,15:53,16:38,18:15,19:33
1,30,05:57,07:16,12:45,15:53,16:39,18:15,19:34
1,31,05:57,07:15,12:45,15:54,16:40,18:16,19:35
9,1,04:54,06:12,12:32,16:01,17:03,18:52,20:09
9,2,04:55,06:13,12:32,16:01,17:03,18:50,20:08
9,3,04:55,06:13,12:31,16:00,17:02,18:49,20:07
9,4,04:56,06:14,12:31,16:00,17:02,18:48,20:06
9,5,04:56,06:14,12:31,15:59,17:01,18:47,20:05
9,6,04:57,06:15,12:30,15:59,17:00,18:46,20:04
9,7,04:57,06:15,12:30,15:58,17:00,18:45,20:02
9,8,04:58,06:15,12:30,15:58,16:59,18:44,20:01
9,9,04:58,06:16,12:29,15:58,16:58,18:43,20:00
9,10,04:59,06:16,12:29,15:58,16:57,18:42,19:59
9,11,04:59,06:16,12:29,15:57,16:57,18:41,19:58
9,12,05:00,06:17,12:28,15:57,16:56,18:40,19:57
9,13,05:00,06:17,12:28,15:56,16:55,18:39,19:56
9,14,05:01,06:17,12:27,15:56,16:54,18:38,19:54
9,15,05:01,06:18,12:27,15:55,16:53,18:37,19:53
9,16,05:02,06:18,12:27,15:55,16:53,18:36,19:51
9,17,05:02,06:18,12:26,15:54,16:52,18:35,19:50
9,18,05:03,06:19,12:26,15:54,16:51,18:34,19:49
9,19,05:03,06:19,12:26,15:53,16:50,18:33,19:48
9,20,05:04,06:19,12:25,15:53,16:49,18:32,19:47
9,21,05:04,06:20,12:25,15:51,16:48,18:31,19:46
9,22,05:04,06:20,12:25,15:50,16:47,18:30,19:45
9,23,05:05,06:20,12:24,15:50,16:46,18:29,19:44
9,24,05:05,06:21,12:24,15:49,16:46,18:28,19:43
9,25,05:05,06:21,12:24,15:49,16:45,18:27,19:43
9,26,05:06,06:22,12:23,15:49,16:44,18:26,19:42
9,27,05:06,06:22,12:23,15:48,16:43,18:25,19:40
9,28,05:07,06:22,12:23,15:48,16:42,18:23,19:39
9,29,05:07,06:23,12:22,15:47,16:41,18:22,19:38
9,30,05:08,06:23,12:22,15:46,16:40,18:22,19:36
12,1,05:39,07:00,12:21,15:22,16:06,17:42,19:03
12,2,05:40,07:01,12:22,15:22,16:07,17:42,19:03
12,3,05:40,07:01,12:22,15:22,16:07,17:42,19:03
12,4,05:41,07:02,12:22,15:22,16:07,17:42,19:03
12,5,05:41,07:03,12:23,15:22,16:07,17:42,19:03
12,6,05:42,07:03,12:23,15:22,16:07,17:43,19:04
12,7,05:43,07:04,12:24,15:23,16:07,17:43,19:04
12,8,05:43,07:05,12:24,15:23,16:08,17:43,19:04
12,9,05:44,07:05,12:24,15:23,16:08,17:44,19:04
12,10,05:44,07:06,12:25,15:24,16:09,17:44,19:05
12,11,05:45,07:07,12:25,15:24,16:09,17:44,19:05
12,12,05:46,07:07,12:26,15:24,16:09,17:44,19:05
12,13,05:46,07:08,12:26,15:25,16:09,17:44,19:06
12,14,05:47,07:08,12:27,15:25,16:09,17:45,19:07
12,15,05:47,07:09,12:27,15:25,16:09,17:45,19:07
12,16,05:48,07:10,12:28,15:25,16:09,17:45,19:07
12,17,05:48,07:10,12:28,15:26,16:10,17:46,19:08
12,18,05:49,07:11,12:29,15:27,16:10,17:46,19:08
12,19,05:49,07:11,12:29,15:27,16:11,17:46,19:09
12,20,05:50,07:12,12:30,15:28,16:12,17:47,19:09
12,21,05:50,07:13,12:30,15:28,16:12,17:48,19:09
12,22,05:51,07:13,12:31,15:29,16:12,17:48,19:09
12,23,05:52,07:13,12:31,15:29,16:13,17:48,19:10
12,24,05:52,07:14,12:32,15:30,16:13,17:49,19:11
12,25,05:52,07:14,12:32,15:30,16:14,17:49,19:12
12,26,05:53,07:15,12:33,15:31,16:14,17:50,19:12
12,27,05:53,07:15,12:33,15:31,16:15,17:51,19:13
12,28,05:54,07:16,12:34,15:32,16:16,17:51,19:14
12,29,05:54,07:16,12:34,15:32,16:17,17:52,19:14
12,30,05:55,07:16,12:35,15:33,16:18,17:53,19:14
12,31,05:55,07:17,12:35,15:34,16:19,17:53,19:15
10,1,05:08,06:24,12:22,15:46,16:39,18:20,19:35
10,2,05:08,06:24,12:21,15:45,16:39,18:19,19:34
10,3,05:09,06:25,12:21,15:44,16:38,18:18,19:33
10,4,05:09,06:25,12:21,15:43,16:37,18:17,19:32
10,5,05:10,06:25,12:20,15:43,16:36,18:16,19:31
10,6,05:10,06:26,12:20,15:42,16:35,18:15,19:30
10,7,05:10,06:26,12:20,15:42,16:34,18:14,19:29
10,8,05:11,06:27,12:20,15:42,16:34,18:13,19:28
10,9,05:11,06:27,12:19,15:41,16:33,18:12,19:27
10,10,05:12,06:27,12:19,15:40,16:32,18:11,19:26
10,11,05:12,06:28,12:19,15:39,16:32,18:10,19:25
10,12,05:13,06:28,12:18,15:39,16:31,18:09,19:24
10,13,05:13,06:29,12:18,15:38,16:30,18:08,19:23
10,14,05:14,06:29,12:18,15:38,16:29,18:07,19:22
10,15,05:14,06:29,12:18,15:37,16:28,18:06,19:21
10,16,05:15,06:30,12:18,15:37,16:28,18:05,19:20
10,17,05:15,06:31,12:17,15:36,16:27,18:04,19:20
10,18,05:15,06:31,12:17,15:35,16:27,18:03,19:19
10,19,05:16,06:32,12:17,15:35,16:26,18:02,19:18
10,20,05:16,06:32,12:17,15:34,16:25,18:02,19:18
10,21,05:16,06:33,12:17,15:33,16:24,18:01,19:17
10,22,05:17,06:33,12:16,15:33,16:23,18:00,19:16
10,23,05:17,06:34,12:16,15:32,16:22,17:59,19:15
10,24,05:17,06:34,12:16,15:31,16:21,17:58,19:15
10,25,05:18,06:35,12:16,15:31,16:20,17:57,19:14
10,26,05:19,06:36,12:16,15:31,16:19,17:57,19:13
10,27,05:19,06:36,12:16,15:30,16:19,17:56,19:12
10,28,05:20,06:37,12:16,15:30,16:19,17:55,19:12
10,29,05:20,06:37,12:16,15:29,16:18,17:54,19:11
10,30,05:21,06:38,12:16,15:29,16:18,17:54,19:10
10,31,05:21,06:38,12:16,15:28,16:17,17:53,19:10
7,1,04:17,05:45,12:36,15:57,17:18,19:26,20:55
7,2,04:17,05:45,12:36,15:58,17:18,19:26,20:55
7,3,04:18,05:46,12:36,15:58,17:18,19:26,20:55
7,4,04:18,05:46,12:36,15:58,17:18,19:26,20:55
7,5,04:18,05:46,12:36,15:58,17:19,19:26,20:54
7,6,04:19,05:47,12:37,15:59,17:19,19:26,20:54
7,7,04:20,05:47,12:37,15:59,17:19,19:26,20:54
7,8,04:21,05:48,12:37,15:59,17:19,19:25,20:54
7,9,04:21,05:48,12:37,16:00,17:19,19:25,20:53
7,10,04:21,05:49,12:37,16:00,17:19,19:25,20:53
7,11,04:22,05:49,12:37,16:00,17:19,19:25,20:53
7,12,04:22,05:50,12:38,16:01,17:20,19:25,20:53
7,13,04:23,05:50,12:38,16:01,17:20,19:25,20:52
7,14,04:24,05:50,12:38,16:01,17:20,19:25,20:52
7,15,04:24,05:51,12:38,16:01,17:20,19:25,20:51
7,16,04:25,05:51,12:38,16:02,17:20,19:24,20:51
7,17,04:25,05:52,12:38,16:02,17:20,19:24,20:51
7,18,04:26,05:52,12:38,16:02,17:20,19:24,20:50
7,19,04:27,05:53,12:38,16:02,17:20,19:23,20:49
7,20,04:28,05:53,12:38,16:02,17:20,19:23,20:49
7,21,04:28,05:54,12:38,16:03,17:20,19:22,20:48
7,22,04:29,05:54,12:38,16:03,17:19,19:22,20:48
7,23,04:29,05:55,12:38,16:03,17:19,19:22,20:48
7,24,04:30,05:55,12:38,16:03,17:19,19:21,20:47
7,25,04:31,05:55,12:38,16:03,17:19,19:21,20:46
7,26,04:31,05:56,12:38,16:04,17:19,19:21,20:45
7,27,04:32,05:56,12:38,16:04,17:19,19:20,20:44
7,28,04:32,05:57,12:38,16:04,17:18,19:19,20:43
7,29,04:33,05:57,12:38,16:04,17:18,19:19,20:43
7,30,04:34,05:58,12:38,16:04,17:18,19:19,20:42
7,31,04:35,05:58,12:38,16:04,17:18,19:19,20:42
8,1,04:35,05:59,12:38,16:04,17:18,19:17,20:41
8,2,04:36,05:59,12:38,16:04,17:18,19:17,20:40
8,3,04:37,06:00,12:38,16:05,17:18,19:16,20:39
8,4,04:37,06:00,12:38,16:05,17:17,19:16,20:38
8,5,04:38,06:01,12:38,16:05,17:17,19:15,20:37
8,6,04:38,06:01,12:38,16:05,17:17,19:14,20:37
8,7,04:39,06:02,12:38,16:05,17:17,19:13,20:36
8,8,04:40,06:02,12:38,16:05,17:16,19:13,20:35
8,9,04:41,06:03,12:37,16:05,17:16,19:12,20:34
8,10,04:42,06:03,12:37,16:05,17:15,19:11,20:33
8,11,04:42,06:04,12:37,16:05,17:15,19:11,20:32
8,12,04:43,06:04,12:37,16:05,17:14,19:10,20:31
8,13,04:44,06:05,12:37,16:05,17:14,19:09,20:30
8,14,04:44,06:05,12:37,16:05,17:14,19:08,20:29
8,15,04:45,06:06,12:36,16:05,17:13,19:07,20:28
8,16,04:45,06:06,12:36,16:05,17:13,19:06,20:27
8,17,04:46,06:06,12:36,16:04,17:12,19:06,20:26
8,18,04:46,06:07,12:36,16:04,17:11,19:05,20:25
8,19,04:47,06:07,12:36,16:04,17:11,19:04,20:24
8,20,04:48,06:07,12:35,16:04,17:10,19:03,20:23
8,21,04:48,06:08,12:35,16:04,17:10,19:02,20:22
8,22,04:49,06:09,12:35,16:03,17:09,19:01,20:21
8,23,04:49,06:09,12:35,16:03,17:09,19:00,20:20
8,24,04:50,06:09,12:34,16:03,17:08,19:00,20:19
8,25,04:51,06:10,12:34,16:03,17:08,18:59,20:17
8,26,04:51,06:10,12:34,16:03,17:07,18:58,20:16
8,27,04:52,06:10,12:33,16:02,17:06,18:57,20:15
8,28,04:52,06:11,12:33,16:02,17:06,18:56,20:14
8,29,04:53,06:11,12:33,16:02,17:05,18:55,20:13
8,30,04:54,06:12,12:33,16:01,17:05,18:54,20:11
8,31,04:54,06:12,12:32,16:01,17:04,18:53,20:10
