Name,10 wickets in match,100s/50s,2001–2005,2001–2007,2006–,5 wickets in innings,allegiance,alma mater,awards,balls bowled,based in,batting,batting average,battles/wars,best bowling,born,bowling,bowling average,cabinet,catches/stumpings,cause of death,children,citizenship,civilian awards,commands,committees,competition,current team,date of birth,died,domestic partner,education,event(s),father,full name,known for,last odi,last test,matches,military awards,mother,national side,nationality,net worth,nickname(s),notable award(s),notable awards,occupation,odi debut (cap 60),other politicalaffiliations,parents,place of birth,playing position,political party,predecessor,profession,rank,relations,relatives,religion,residence,resting place,runs scored,salary,service/branch,sport,spouse(s),test debut (cap 107),top score,unit,website,wickets,years,years of service
AghaAliHaidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AghaShahzaibDurrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AghazIkramullahGandapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikramullah gandapur[1],,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AhmadKundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AhmadMukhtar,,,,,,,,forman christian college,,,,,,,, (1946-06-22) 22 june 1946 (age 72)lahore| punjab| pakistan,,,,,,3[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AhmadRazaManeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghulam muhammad maneka[1],,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AhmadShahKhagga,,,,,,,,,,,,,,,, (1966-09-24) 24 september 1966 (age 52),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AhsanIqbal,,,,,,,,university of engineering and technology| wharton school of the university of pennsylvania,,,,,,,, (1959-03-28) 28 march 1959 (age 59)[1]lahore| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,nisar fatima (mother),,,,,,,,,,,,,,,
AishaNaeem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, pakistan,,,,,politician,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AishaNawaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AkbarAyubKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf (pti),,,,,,,,,,,,,,,,,,,,
A.K.FazlulHuq,,,,,,,,calcutta university,,,,,,,,abul kasem fazlul huq(1873-10-26)26 october 1873bakerganj| bengal presidency| british india (now barisal district| bangladesh),,,,,,a. k. faezul huq,british indian (1873–1947)dominion of pakistan (1947–1956) east pakistan (1956–1962),,,,,,,27 april 1962(1962-04-27) (aged 88)dacca| east pakistan|  (now dhaka| bangladesh),,,,,,,,,,,,,,,,,,,,,,,,bengal provincial muslim league| all india muslim league| indian national congress| krishak praja party,,,,,,,,mausoleum of three leaders,,,,,khurshid begumjannatunissa begummussammat khadija begum,,,,,,,
AkramKhanDurrani,,,,,,,,,,,,,,,,akram khan durrani (1960-03-02) 2 march 1960 (age 58)[1],,,,,,ziad durrani,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,jamiat ulema-e islam (f),,,,ghulam qadir khan durrani (father),,,,,,,,,,,,,,,,
AleemKhan,,,,,,,,,,,,,,,, (1972-03-05) 5 march 1972 (age 46)lahore| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek e insaf,,,,,,,,,,,,,,,,,,,,
AliAminGandapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AliGoharKhanMahar,,,,,,,,,,,,,,,, (1968-09-01) september 1| 1968 (age 50),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,ali mohammad mahar (brother)  ali nawaz khan mehar (brother),,,,,,,,,,,,,,,
AliHaiderZaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AliHassanal-Majid,,,,,,, iraq,,,,,,,"kurdish–iraqi conflictiran–iraq war
al-anfal campaign
persian gulf war
iraq war

invasion of iraq
",,علي حسن عبد المجيد التكريتي ʿalī ḥasan ʿabd al-majīd al-tikrītī1941?tikrit| iraq,,,,,executed by hanging,,,,national defense battalions,,,,,25 january 2010(2010-01-25) (aged 68)kadhimiya| baghdad| iraq,,,,,,,,,,,,,iraqi,,"""chemical ali""",,,,,,,,,iraqi regional branch of the arab socialist ba'ath party,,, colonel general,saddam hussein (first cousin),,,,,,, iraqi army,,,,,,,,,1959–2003
AliMardanShah,,,,,,,,,,,,,,,, (1957-01-10) 10 january 1957 (age 61)umerkot district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AliNawazAwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AliNawazKhanMehar,,,,,,,,,,,,,,,, (1972-03-08) 8 march 1972 (age 46)khangarh| sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,ali gohar khan mahar (brother)  ali mohammad mahar (brother),,,,,,,,,,,,,,,
AliPervaizMalik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muhammad pervaiz malik,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AliWazir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AliZahid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zahid hamid[1],,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AllahBuxTalpur,,,,,,,,,,,,,,,, (1940-03-17) 17 march 1940 (age 78)badin district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AmanUllahWarraich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AmeenFaheem,,,,,,,,university of sindh,,,,,,,,makhdoom muhammad ameen faheem(1939-08-04)4 august 1939hala| british raj,,,,,,makhdoom jameeluz zaman (son),,,,,,,,21 november 2015(2015-11-21) (aged 76)karachi| pakistan,,,,makhdoom zaman talib-ul-mola,,,,,,,,,british india (1939–1947)|pakistani (1947–2015),,,,,,,,,,,pakistan peoples party,,,,,,,,hala| pakistan,,,,,,,,,,,,
AmeerHaiderKhanHoti,,,,,,,,aitchison college  edwardes college,,,,,,,, (1971-02-05) 5 february 1971 (age 47)[1][2]mardan| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,₨1 billion (us$9.5 million)[3],,,,,,,,,,awami national party (anp),,,,,,,,,,,,,,,,,,,,
AmeerMuhammadKhan,,,,,,,,,,,,,,,, (1972-11-17) 17 november 1972 (age 46)bhakkar,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AminUllahKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AmirFarzandKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AmjadKhanAfridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, pakistan,,,,,politician,,,,,,independent,,,,,,,,,,,,,,,,,,,,
AmjadMehmoodChaudhry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AneezaFatima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AnsarMajeedKhanNiazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AnthonyNaveed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party parliamentarians,,,,,,,,,,,,,,,,,,,,
AnwarHayatKhan,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,jamiat ulema-e-islam (f),,,,,,,,,,,,,,,,,,,,
AnwarLalDean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AnwarSadat,,,,,,,egypt,university of alexandria,,,,,,,,(1918-12-25)25 december 1918monufia| sultanate of egypt,,,,,,7,,,,,,,,6 october 1981(1981-10-06) (aged 62)cairo| egypt,,,,,,,,,,,,,egyptian,,,,,,,arab socialist union,,,,national democratic party,,, colonel,,,,,,,,egyptian army,,eqbal afifi[1]ehsan madijehan sadat,,,,,,,1938–1952
AnwarulHaqKakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,,,,,,,,,,,,,,,,,
ArbabAmirAyub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,arbab muhammad zahir (brother)[1],,,,,,,,,,,,,,,
ArbabJahandadKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ArbabLutfullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,arbab ghulam rahim (uncle)[1],,,,,,,,,,,,,,,,
ArbabMuhammadWasimKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ArifAlvi,,,,,,,,de'montmorency college of dentistryuniversity of michiganuniversity of the pacific,,,,,,,, (1949-08-29) 29 august 1949 (age 69)karachi| sind| pakistan,,,,,,4,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,samina alvi[1],,,,,,,
ArifBangash,,,,,,, pakistan,,hilal-i-imtiaz,,,,,indo-pakistan war of 1965indo-pakistan war of 1971,,1935 (age 82–83)hangu| british india (now pakistan),,,,,,,,,school of infantry and tactics (si&t)| quettaig frontier corps (igfc)| peshawar9th infantry division| kohatig training and evaluation (igt&e)v corps| karachiquarter-master general (qmg),,,,,,,,,lt colonel dr.arshad khan,,,,,,,,,,,,,,,,,,,,,,, lieutenant general,,,,,,,, pakistan army,,,,,punjab regiment,,,,1954 – 1994
ArifMustafaJatoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghulam mustafa jatoi[1],,,,,,,,,pakistani,,,,,,,,,,,grand democratic alliance,,,,,,,,,,,,,,,,,,,,
ArmaghanSubhani,,,,,,,,,,,,,,,, (1966-01-05) 5 january 1966 (age 52),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
ArsalanTajHussain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
ArshadAyubKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,omar ayub khan (cousin)[1],,,,,,,,,,,,,,,
AsadAshraf,,,,,,,,,,,,,,,, (1963-06-21) 21 june 1963 (age 55)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AsadJunejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,muhammad khan junejo (father),,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AsadMehmood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fazal-ur-rehman[2],,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,atta-ur-rehman (uncle)[1],,,,,,,,,,,,,,,,
AsadQaiser,,,,,,,,,,,,,,,, (1969-11-15) november 15| 1969 (age 49)swabi district| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AsadUmar,,,,,,,,,sitara-i-imtiaz,,,,,,,1961 (age 56–57)rawalpindi,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AsgharAliTareen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
AsgharKhan,,,,,,, india pakistan,,,,,,,"world war iifirst burma campaign
arakan campaign of 1942–43
second burma campaign

battle of the sittang bend
",,mohammad asghar khan afridi(1921-01-17)17 january 1921jammu| kashmir| british india(present day in jammu in jammu and kashmir in india),,,,,cardiac arrest,nasreen| shereen| omar and ali asghar,british subject(1921–1947)pakistan (1947–2018),hilal-i-pakistanhilal-i-quaid-i-azamorder of crownorder of the crown of thailand:vii[1],pakistan air force academyacas (admin.)| air ahqpeshawar air force baseno. 9 squadron| riaf,,,,,5 january 2018(2018-01-05) (aged 96)combined military hospital in rawalpindi| punjab in pakistan,,,,,,,,,,crosses of aeronautical merit,,,,,shaheen-i-pakistannight flyer,,,,,national democratic party,,,,pakistan tehreek-e-insaf,,, air marshal(lieutenant-general),,,,,abottabad| khyber-pakhtunkhwa| pakistan,,, british indian army royal indian air force pakistan air force,,,,,9th deccan horse| armored corps,,,,1939–68[2]
AshifaRiazFatyana,,,,,,,,,,,,,,,, (1965-01-07) january 7| 1965 (age 53),,,,,,ehsan riaz fatyana,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,riaz fatyana[1],,,,,,,
AsiaAmjad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AsifAliZardari,,,,,,,,,,,,,,,, (1955-07-26) 26 july 1955 (age 63)karachi| sind| pakistan,,,,,,3| including bilawal,,,,,,,,,,,,,,,,,,,,,pakistani,₨758 million (us$7.2 million)[3],,,,,,,bilquis sultana and hakim ali zardari[2],,,pakistan people's party,,,,,see the zardari family,,,,,,,,benazir bhutto(m. 1987; died 2007),,,,,,,
AsifKirmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AsifSaeedKhanKhosa,,,,,,,,university of cambridge (trips-i| ll.m.)lincoln’s inn (bar at law)university of punjab (b.a.| m.a.)government college| lahore (inter) [2],,,,,,,, (1954-12-21) 21 december 1954 (age 63)dera ghazi khan| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,, pakistani,,,,,,,,,,,,,,,nasir mahmood khosa (brother)tariq masood khosa (brother)[1],,,,,,,,,,,,,,,,
AsimMunir(soldier),,,,,,, pakistan,,,,,,,,,,,,,,,,,,director general of inter-services intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  lieutenant-general,,,,chaklala| rawalpindi,,,, pakistan army,,,,,,,,,
AsimSaleemBajwa,,,,,,, pakistan,pakistan military academy,tamgha-e-basalat hilal-e-imtiaz,,,,,,,5 septembermuzaffar garh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, lieutenant-general,,,,,,,, pakistan army,,,,,,,,,1984–present
AsiyaAsad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AtifKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AurangzebKhanKhichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AwaisQadirShah,,,,,,,,,,,,,,,, (1977-10-12) 12 october 1977 (age 41)sukkur,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AyazSadiq,,,,,,,,aitchison collegehailey college of commerce,,,,,,,, (1954-10-17) 17 october 1954 (age 64)[1][2]lahore| punjab| pakistan,,,,,,3,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,pakistan tehreek-e-insaf (before 1998),,,,pakistan muslim league (n)(2001–present),,,,,,,,,,,,,reema ayaz (m. 1977)[3],,,,,,,
AyeshaRazaFarooq,,,,,,,,lahore university of management sciences (mba)  punjab law college (l.l.b)  university of punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AyubKhan(PresidentofPakistan),,,,,,,,,,,,,,"war in waziristan (1936–39)world war ii
burma campaign
",,muhammad ayub khan(1907-05-14)14 may 1907rehana| haripur district in north-west frontier province| british india(now in khyber-pakhtunkhwa| pakistan),,,ministry of talents,,cardiac arrest,gohar| and nasim, pakistan(1947-74), nishan-i-pakistan hilal-i-pakistan order of the crown,adjutant-general| army ghqgoc-in-c| eastern command| daccagoc 14th infantry division| dacca,,,,,19 april 1974(1974-04-19) (aged 66)islamabad| pakistan,,,,,,,,,, hilal-e-jurat,,,,,,,,,,,,,,,,,  field marshal(general of the army),,,,,rehana| haripur| khyber-pakhtunkhwa in pakistan),,, british indian army(1928-47) pakistan army(1947–58),,,,,19/14th punjab regiment,,,,1928–58
AzamKhanSwati,,,,,,,,university of houston,,,,,,,, (1956-06-22) 22 june 1956 (age 62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jamiat ulema-i-islam (2002–2011)
pakistan tehreek-e-insaf (2011–present)",,politician,,,,,,,,,,,,,,,,,,
AzharQayyum,,,,,,,,,,,,,,,, (1977-01-01) 1 january 1977 (age 41),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
BabarSaleemSwati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
BahramandTangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
BarjeesTahir,,,,,,,,university of punjab,,,,,,,, (1949-04-20) 20 april 1949 (age 69)[1]sangla hill| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pml,,,,,,,,,,,,,,,,,,,,
BasitAhmedSiddiqui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
BasmaRiazChoudhry,,,,,,,,,,,,,,,,pahrianwali pind| punjab| pakistan),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan muslim league (q),,politician,,,,,,,,,,,,,,,,,,
BegumTahiraBukhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
