Name,1969–1972,1972–1988,1974–1986,1980–1992,1983–1985,1984–1999,1985–1988,1988–1990,1990–1992,1991,1992–1995,1993–1996,1995,1995–1998,1995–2000,1997–1998,1997–1999,2000–2001,2000–2003,2002–2004,2003–2004,2004–2008,2005–2006,2006,2006–2008,2008–2010,2010–2018,2011–2012,2018–,allegiance,alma mater,awards,battles/wars,born,cabinet,children,citizenship,combined total,commands,country represented,current team,date of birth,denomination,died,domestic partner,education,ethnicity,father,former choreographer,former coach,free skate,full name,height,house,known for,mother,nationality,net worth,nickname(s),number,occupation,ordination,other politicalaffiliations,parents,place of birth,playing position,political party,positions,previous post,previous post,profession,rank,relations,relatives,religion,residence,resting place,retired,salary,service/branch,short program,skating club,spouse(s),total,unit,website,years,years of service,years active
AdamPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardiff university,,, (1968-09-23) 23 september 1968 (age 50)carmarthen| carmarthenshire| wales,,,,,,,,,,,,,,,,,,,,,,,welsh,,,,,,,,,,plaid cymru,,,,,,,,,,,,,,,,,,,,,,
AdanMohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi (bcom)  harvard business school (mba),,,december 1963 (age 54–55)el wak| north eastern province,,5,,,,,,,,,,,somali,,,,,,,,,,kenyan,,,,,,,,,,,md| barclays kenya (2002-12),,,chartered accountant (aca),,,,,,,,,,,,nafisa,,,,,,
AgnèsBuzyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1962-11-01) 1 november 1962 (age 56)paris| france,,1,,,,,,,,,,,,élie buzyn [fr],,,,,,,,etty buzyn [fr],,,,,,,,,,,,,,,,,,,,,,,,,,,yves lévy,,,,,,
AhmadZahidHamidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmad zahid bin hamidi (1953-01-04) 4 january 1953 (age 65)ponorogo| java,,2,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,umno,,,,,,,,,bagan datuk| perak,,,,,,,hamidah khamis,,,,,,
AhmedMahloof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1980-03-26) march 26| 1980 (age 38),,2,,,,,,,,,,,,,,,,,,,,,maldivian,,,,,,,,,,maldivian democratic party,,,,,,,,,,,,,,,,nazra naseem,,,,,,
A.H.M.KhairuzzamanLiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of calcutta,,, (1959-08-14) 14 august 1959 (age 59)kadirganj| rajshahi district| east pakistan| pakistan,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AishathNahula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,american college of higher education,,,aishath nahula (1982-03-07) 7 march 1982 (age 36)malé| maldives,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jumhooree party,,,,,,,,,,,,,,,,qasim ibrahim,,,aishathnahula.com,,,
A.J.M.Muzammil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zahira college| colombo,,, (1949-01-05) january 5| 1949 (age 69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united national party,,,,,,,,,,,,,,,,,,,muzammil.org,,,
A.K.M.ShahjahanKamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1950-02-10) 10 february 1950 (age 68)laharkandi| lakshmipur| east bengal| dominion of pakistan,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
AlainBerset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of neuchâtel,,, (1972-04-09) 9 april 1972 (age 46)fribourg| switzerland,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social democratic party,,,,,,,,,,,,,,,,muriel zeender,,,,,,
AlbertL.Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1917-07-06)july 6| 1917new york,,,,,,,,,,february 10| 2008(2008-02-10) (aged 90)cherry hill| new jersey,,,,,,,,,,,,,american,,,,,jewish theological seminary of america,,,,,,,,temple beth sholom,,,,,judaism,,,,,,,,,,,,,,
AlexYounger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united kingdom,,companion of the order of st michael and st george,,alexander william younger (1963-07-04) 4 july 1963 (age 55),,,,,,,,,,,,,,,,,,,,,,,,,,,intelligence officer,,,,,,,,,,,captain,,,,,,,,british army,,,,,royal scots (1986)scots guards (1986-1990),,,1986–19901990-present (reserves),
AliHassanKhalil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lebanese,,,,,,,,,,amal movement,,,,,,,,,,,,,,,,,,,,,,
AliQanso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947/1948doueir| lebanon,,,,,,,,,,4 july 2018 (aged 70),,,,,,,,,,,,,lebanese,,,,,,,,,,syrian social nationalist party,,,,,,,,,,,,,,,,,,,,,,
AminaMohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kenya school of law (llb)university of kiev (llm)university of oxford (pgdip),,, (1961-10-05) 5 october 1961 (age 57)kakamega| kenya,,6,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,jubilee party,,,,,,,,,,,,,,,,khalid ahmed,,,,,,
AmirHossainAmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhaka,,, (1940-01-01) 1 january 1940 (age 78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
AnandaKumarasiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jayasundara mudiyanselage ananda kumarasiri (1954-03-25) march 25| 1954 (age 64),,,,,,,,,,,,,,,,,,,,,,,,,,,attorney at law,,,,,,united national party,,,,,,,,,,,,,,,,,,,,,,
AndrewGinther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,earlham college (ba),,, (1975-04-27) april 27| 1975 (age 43)columbus| ohio| u.s.,,1[3],,,,,,,,,,whetstone high school,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,shannon ginther[2],,,www.andrewginther.com,,,
AndrewLeung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st. francis xavier's schoolleeds university (bsc),,, (1951-02-24) 24 february 1951 (age 67)hong kong,,clarence leung wang-ching,,,,,,,,,,,,,,,,,,,,,british (until 2016)hong kong chinese (since 2016),,,,merchant,,,,,,liberal party (until 2008)economic synergy (since 2009)business and professionals alliance for hong kong (since 2012),,,,,,,,,,,,,,,,susana cheong suk-hing,,,,,,
AndyCooke,,,,,,,,,,"
telford united","
newtown",,,,"
burnley",,,,"
stoke city",,"
busan i'cons",,"
bradford city","
→ darlington (loan)","
shrewsbury town",,,"
market drayton town",,,,,,,,,,,,,,"
 (1974-01-20) 20 january 1974 (age 44)",,,,,,,,,,"
andrew roy cooke","
6 ft 0 in (1.83 m)",,,,,,,,,,,,"
market drayton| england","
striker",,,,,,,,,,,,,,,,,,"
* senior club appearances and goals counted for the domestic league only",,,"
team",,
AndyRhodes,,,,,"
barnsley",,"
doncaster rovers","
oldham athletic","
dunfermline athletic",,"
st johnstone",,"
→ norwich city (loan)","
→ bolton wanderers (loan)",,"
airdrieonians",,,,"
oldham athletic (goalkeeper coach)",,"
ipswich town (goalkeeper coach)",,,,"
preston north end (goalkeeper coach)","
sheffield wednesday (goalkeeper coach)",,"
* senior club appearances and goals counted for the domestic league only",,,,,,,,,,,,"
oldham athletic (assistant)","
 (1964-08-23) 23 august 1964 (age 54)",,,,,,,,,,"
andrew eugene rhodes[1]",,,,,,,,,,,,,"
doncaster| england","
goalkeeper",,,,,,,,,,,,,,,,,,"
→ scarborough (loan)",,,"
team",,
AneroodJugnauth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inns of court school of law,,, (1930-03-29) 29 march 1930 (age 88)la caverne| british mauritius,,2| including pravind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,independent forward block (before 1965)all hindu congress (1965–1970)mauritian militant movement (1970–1982)militant socialist movement (1983–2003; 2012–present)independent (2003–2012),,,,,,,,,,,,,,,,sarojini ballah,,,,,,
"AngelaSmith,BaronessSmithofBasildon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leicester polytechnic,,,angela evans (1959-01-07) 7 january 1959 (age 59)london| england| uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,labour co-operative,,,,,,,,,,,,,,,,nigel smith,,,,,,
AnisulIslamMahmud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhakaquaid-i-azam universityuniversity of essex,,, (1947-12-20) 20 december 1947 (age 70)chittagong| east bengal| dominion of pakistan,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,jatiya party,,,,,,,,,,,,,,,,,,,,,,
AnneHidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jean moulin university lyon 3,,,ana maria hidalgo (1959-06-19) 19 june 1959 (age 59)san fernando| spain,,3 including arthur germain,frenchspanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,socialist party,,,,,,,,,hôtel de ville,,,,,,,"first husband (div.)
jean-marc germain (m. 2004)[1]",,,,,,
AnnickGirardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1964-08-03) 3 august 1964 (age 54)saint-malo| france,,,,,,,,,,,,,,,,,,,,,,,french,,,,,,,,,,radical party of the left,,,,,,,,,,,,,,,,,,,,,,
AnwarGargash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,george washington universitycambridge university,,, (1959-03-28) 28 march 1959 (age 59)dubai| united arab emirates,,,,,,,,,,,,,,,,,,,,,,,emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnwarHossainManju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,georgetown universityuniversity of dhaka,,, (1944-01-01) 1 january 1944 (age 74)pirojpur district| bengal presidency| british india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jatiya party (jp-manju),,,,,,,,,,,,,,,,,,,,,,
ArieSlob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of groningen  (bachelor of arts| master of arts),,,arie slob (1961-11-16) 16 november 1961 (age 57)nieuwerkerk aan den ijssel| netherlands,,esther  aron  lotte  karen,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician · teacher · education administrator · historian · nonprofit director,,reformed political league  (1987–2002),,,,christian union  (from 2002),,,,,,,,,zwolle| netherlands,,,,,,,marjette slob (m. 1986),,,(in english) minister for primary and secondary education and media,,,
ArifulHaqueChoudhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1959-11-23) 23 november 1959 (age 59)kumarpara| sylhet| bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh national party,,,,,,,,,sylhet| bangladesh,,,,,,,,,,sylhet city corporation(bengali),,,
ArthurLi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1945-06-27) 27 june 1945 (age 73)hong kong occupied territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koon-chun li (great grandfather)fook-shu li (father)tze-ha wu (mother)david li (brother)alex li (son)  peter li (son) athena li (granddaughter) andreas li (grandson),,,,,,,,,,diana chester; 2 children,,,,,,
AsaduzzamanKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
AsaduzzamanNoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhaka,,, (1946-10-31) 31 october 1946 (age 72),,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,actor| politician,,,,,,,,,,,,,,,,,,,,,,shaheen akhter,,,,,,
AshleyFox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bristol polytechnic,,, (1969-11-15) 15 november 1969 (age 49)sutton coldfield| warwickshire| england,,2,,,,,,,,,,,,,,,,,,,,,,,,,politician| formally solicitor,,,,,,conservative,,,,,,,,,bristol| united kingdom,,,,,,,julia fox,,,www.ashleyfoxmep.co.uk,,,
AshrafGhani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,american university of beirutcolumbia university,,,ashraf ghani ahmadzai (1949-05-19) 19 may 1949 (age 69)logar| kingdom of afghanistan,,mariamtariq,,,,,,,,,,,,,,,,,,,,,afghanistan[1],,,,,,,,,,independent,,,,,,hashmat ghani ahmadzai (brother),,,,,,,,,,rula ghani,,,,,,
AusafSayeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1963-09-18) 18 september 1963 (age 55)[citation needed]hyderabad| telangana| india,,,,,,,,,,,,,,awaz sayeed,,,,,,,,kaneez fatima,,,,,indian diplomat (indian foreign service),,,,,,,,,,,,,,,,,,,,,,farha sayeed,,,,,,
BadarUddinAhmedKamran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1951-01-01) 1 january 1951 (age 67)sylhet| bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awami league,,,,,,,,,sylhet| bangladesh,,,,,,,,,,mr. badar uddin ahmed kamran,,,
BandulaGunawardane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1953-03-15) march 15| 1953 (age 65),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance (2007 - present)  united national front (2001- 2007)  people's alliance (sri lanka) (2000 - 2001),,,,sri lanka freedom party (2007 - present)  united national party (2001- 2007)  mahajana eksath peramuna (1989 - 2001),,,,,,,,,142 jambugasmulla mw| nugegoda| sri lanka.,,,,,,,,,,,,,
BanKi-moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1944-06-13) 13 june 1944 (age 74)insei| japanese korea[1][2](now eumseong county| south korea),,3,,,,,,,,,,seoul national university (ba)harvard university (mpa),,,,,,,,,,,,,,,,,,,,,independent,,,,,,,,,,,,,,,,yoo soon-taek,,,,,,
BartDeWever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catholic university of leuven,,,bart albert liliane de wever (1970-12-21) 21 december 1970 (age 47)mortsel| belgium,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's union (before 2001)new flemish alliance(2001–present),,,,,,,,,deurne| belgium,,,,,,,veerle hegge,,,,,,
BecharaBoutrosal-Rahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1940-02-25) 25 february 1940 (age 78)himlaya| lebanon,,,,,,,,,maronite catholic,,,,,,,,,,,,,,,,,,,,,,,,,,auxiliary bishop of antioch (1986–1990)titular bishop of caesarea philippi (1986–1990)bishop of byblos (1990–2011),,,,,,,,,,,,,,,,,,,,
BenRayLuján,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1972-06-07) june 7| 1972 (age 46)santa fe| new mexico| u.s.,,,,,,,,,,,,university of new mexiconew mexico highlands university (bba),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,ben luján (father)michelle lujan grisham (cousin),,,,,,,,,,,,house website,,,
BetsyPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of texas at arlington,,, (1949-10-21) october 21| 1949 (age 69),,,,,,,,,,,,arlington heights high school,,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,,,,,,,
BilldeBlasio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warren wilhelm jr. (1961-05-08) may 8| 1961 (age 57)new york city| new york| u.s.,,2,,,,,,,,,,new york university (ba)columbia university (mia),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,gracie mansion (official),,,,,,,chirlane mccray (m. 1994),,,nyc.gov/mayor (government)billdeblasio.com (personal),,,
BrunoBruins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of groningen  (bachelor of public administration| bachelor of laws| master of public administration| master of laws),,,bruno johannes bruins (1963-07-10) 10 july 1963 (age 55)arnhem| netherlands,,3 children,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician · civil servant · corporate director · nonprofit director,,,,,,people's party for  freedom and democracy,,,,,,,,,scheveningen| netherlands,,,,,,,,,,(in english) minister for medical care,,,
BrunoLeMaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,école normale supérieureuniversité paris-sorbonnesciences poécole nationale d'administration,,, (1969-04-15) 15 april 1969 (age 49)neuilly-sur-seine| france,,4,,,,,,,,,,lycée louis-le-grand,,,,,,,,,,,french,,,,,,,,,,union for a popular movement (before 2015)the republicans (2015–2017)en marche (2017–present),,,,,,,,,,,,,,,,pauline doussau de bazignan (m. 1998),,,,,,
CarolaSchouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erasmus university rotterdam (msc in business administration),,,cornelia johanna schouten (1977-10-06) 6 october 1977 (age 41)'s-hertogenbosch| netherlands,,,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician| civil servant,,,,,,christian union,,,,,,,,,rotterdam| netherlands,,,,,,,,,,,,,
CarrieLam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kongwolfson college| cambridge (diploma course),,,cheng yuet-ngor (1957-05-13) 13 may 1957 (age 61)[1]lockhart road| wan chai| british hong kong[2],,2,,,,,,,,,,st. francis' canossian college,,,,,,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,lam siu-por (m. 1984),,,,,,
CarwynJones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of walesinns of court school of law,,,carwyn howell jones (1967-03-21) 21 march 1967 (age 51)swansea| wales,,2,,,,,,,,,,,,,,,,,,,,,welsh,,,,,,,,,,labour,,,,barrister,,,,,,,,,,,,lisa jones,,,www.carwynjonesam.co.uk,,,
CatherineBearder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1949-01-14) 14 january 1949 (age 69)broxbourne| hertfordshire| uk,,3,,,,,,,,,,,,,,,,,,,,,british,,,,,,,,,,liberal democrat,,,,,,,,,,,,,,,,professor simon bearder,,,www.bearder.eueuroparl..catherine_bearder,,,
CatherineE.Pugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catherine crump (1950-03-10) march 10| 1950 (age 68)norristown| pennsylvania| u.s.,,,,,,,,,,,,morgan state university (bs| mba),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,,,,campaign website,,,
CathyMcMorrisRodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cathy anne mcmorris (1969-05-22) may 22| 1969 (age 49)salem| oregon| u.s.,,3,,,,,,,,,,pensacola christian college (ba)university of washington (mba),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,brian rodgers (m. 2006),,,house website,,,
C.B.Ratnayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidyartha college| kandy,,, (1958-01-21) 21 january 1958 (age 60),,nuwan ratnayake| abheetha ratnayake| buddhimali ratnayake,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance,,,,sri lanka freedom party,,,,,,,,,308 bauddhaloka mawatha| colombo 07,,,,,,,geetha ratnayake,,,,,,
ChamalRajapaksa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,richmond college| galle,,, (1942-10-30) 30 october 1942 (age 76),,shasheendra| shameendra,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,,,,,sri lanka freedom party,,,,,,,,,,,,,,,,chandra malini rajapaksa(nee wijewardene),,,,,,
ChanChunSing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christ's college| cambridgemit sloan school of management,,, (1969-10-09) 9 october 1969 (age 49)singapore,,,,,2nd battalion| singapore infantry regiment|10th singapore infantry brigade|9th division|chief infantry officer|chief of staff - joint staff|chief of army,,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party,,,,, major-general,,,,,,,,singapore army,,,,,,,,1987–2011,
CharlesBastienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabinet minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CharlesChong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1953-06-24) 24 june 1953 (age 65),,,,,,,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party (1988),,,,,,,,,,,,,,,,,,,,,,
CharlesKeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states international university africa,,, (1969-11-22) 22 november 1969 (age 49),,,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,urp,,,,,,,,,,,,,,,,,,,www.charlesketer.com,,,
CharlesMichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,université libre de bruxellesuniversity of amsterdam,,,charles yves jean ghislaine michel (1975-12-21) 21 december 1975 (age 42)namur| belgium,,2,,,,,,,,,amélie derbaudrenghien [fr],,,,,,,,,,,,,,,,,,,,,,reformist movement,,,,,,,,,,,,,,,,,,,,,,
CheriBustos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheryl lea callahan (1961-10-17) october 17| 1961 (age 57)springfield| illinois| u.s.,,3,,,,,,,,,,university of maryland| college park (ba)university of illinois at springfield (ma),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,gerry bustos,,,house website,,,
ChowChung-kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1950-09-09) 9 september 1950 (age 68)hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChrisPatten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balliol college| oxford,,, (1944-05-12) 12 may 1944 (age 74)cleveleys| lancashire| england,,kate patten  laura charles alice patten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conservative,,,,,,,,,,,,,,,,lavender thornton,,,,,,
ChristineDefraigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1962-04-29) 29 april 1962 (age 56)liège| belgium,,,,,,,,,,,,,,jean defraigne,,,,,,,,,,,,,,,,,,,reformist movement,,,,,,,,,,,,,,,,,,,,,,
ChristineLagarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paris west university nanterre la défenseinstitute of political studies| aix,,,christine madeleine odette lallouette (1956-01-01) 1 january 1956 (age 62)paris| france,,2,,,,,,,,,xavier giocanti,,,,,,,,,,,,,,,,,,,,,,union for a popular movement (before 2015)republicans (2015–present),,,,,,,,,,,,,,,,wilfred lagarde,,,,,,
ChristopheCastaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1966-01-03) 3 january 1966 (age 52)ollioules| france,,,,,,,,,,,,aix-marseille university,,,,,,,,,,,,,,,,,,,,,socialist party (before 2016)la république en marche (2016–present),,,,,,,,,,,,,,,,,,,,,,
ColumEastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of liverpool,,, (1983-04-30) 30 april 1983 (age 35)derry| northern ireland,,2,,,,,,,,,,,,,,,,,,,,,irish,,,,,,,,,,sdlp,,,,,,,,,,,,,,,,rachael eastwood,,,,,,
CressidaDick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balliol college| oxfordfitzwilliam college| cambridge,,,cressida rose dick (1960-10-16) 16 october 1960 (age 58)oxford| oxfordshire| england,,,,,,,,,,,helen,,,,,,,,,,,,british,,,,,,,,,,,,,,police officer,,,,,,,,,,,,,,,,,,
